shot_idx,start_sec,end_sec,duration_sec,n_frames,camera_motion,pan_score_mean,tilt_score_mean,zoom_score_mean,median_motion_magnitude
0,0.0,2.836,2.836,3,static,0.0,0.0,0.0,0.18
1,2.836,5.214,2.377,4,tilt-down,0.016,0.766,-0.073,1.394
2,5.214,6.59,1.376,2,tilt-up,-0.813,-1.0,0.006,3.807
3,6.59,9.343,2.753,4,zoom-out,-0.376,0.418,0.264,0.676
4,9.343,11.136,1.793,3,tilt-down,-0.942,0.72,-0.232,1.218
5,11.136,15.182,4.046,5,zoom-out,0.193,0.038,0.441,1.106
6,15.182,17.392,2.211,3,static,0.0,0.0,0.0,0.03
7,17.392,22.189,4.796,6,pan-left,-0.338,0.039,-0.675,0.92
8,22.189,23.774,1.585,2,static,0.0,0.0,0.0,0.003
9,23.774,26.86,3.086,4,static,0.0,0.432,0.158,5.145
10,26.86,29.821,2.961,4,zoom-in,-0.26,0.241,-0.5,7.4
11,29.821,31.24,1.418,3,pan-left,-0.166,0.436,1.0,10.506
12,31.24,32.532,1.293,2,static,0.0,0.0,0.0,0.003
13,32.532,35.41,2.878,4,tilt-up,-0.197,-0.436,0.091,0.786
14,35.41,37.913,2.502,3,zoom-in,0.559,-0.621,-0.724,4.869
15,37.913,39.915,2.002,3,pan-left,-1.0,-0.846,0.001,3.154
16,39.915,47.589,7.674,9,pan-right,0.038,0.124,0.328,8.441
17,47.589,49.633,2.044,3,pan-right,0.0,0.611,0.671,6.123
18,49.633,51.593,1.96,3,pan-left,-0.435,-0.476,-0.149,5.86
19,51.593,56.306,4.713,6,tilt-down,0.262,0.6,-0.042,6.472
20,56.306,61.728,5.422,6,static,0.063,-0.151,-0.075,2.097
21,61.728,63.272,1.543,3,zoom-out,0.264,0.371,0.5,2.79
22,63.272,65.732,2.461,3,static,-0.086,-0.188,-0.208,1.233
23,65.732,67.15,1.418,3,tilt-down,0.0,1.0,0.294,3.285
24,67.15,70.362,3.212,4,tilt-down,-0.667,0.429,-0.667,0.555
25,70.362,71.822,1.46,2,zoom-out,0.299,0.099,0.772,1.219
26,71.822,76.827,5.005,6,zoom-in,0.038,0.54,-0.281,6.301
27,76.827,79.788,2.961,4,zoom-out,-0.255,-0.128,0.003,8.597
28,79.788,81.665,1.877,3,zoom-out,-0.389,0.207,0.192,10.54
29,81.665,84.084,2.419,4,tilt-down,-0.458,-0.003,-0.85,10.451
30,84.084,86.67,2.586,3,tilt-down,-0.587,1.0,0.803,9.952
31,86.67,88.046,1.376,3,pan-right,0.0,0.146,-0.342,8.436
32,88.046,94.845,6.798,7,pan-left,-0.191,-0.322,-0.253,5.846
33,94.845,96.722,1.877,3,pan-right,-0.182,-0.221,-0.19,5.473
34,96.722,99.725,3.003,4,tilt-down,-0.152,0.446,0.337,6.046
35,99.725,101.768,2.044,3,tilt-up,0.0,0.0,-0.752,14.858
36,101.768,106.648,4.88,6,pan-left,-0.677,0.179,0.303,2.705
37,106.648,108.358,1.71,3,pan-right,0.0,0.525,0.454,1.308
38,108.358,111.695,3.337,4,static,-0.333,0.333,-0.102,0.183
39,111.695,113.322,1.627,3,static,0.027,-0.5,0.203,2.776
40,113.322,121.58,8.258,9,tilt-down,-0.197,0.296,-0.119,3.411
41,121.58,122.873,1.293,2,tilt-down,0.006,1.0,0.433,6.453
42,122.873,130.839,7.966,9,static,-0.142,-0.018,0.077,1.536
43,130.839,133.008,2.169,4,pan-right,0.083,-0.346,-0.091,7.128
44,133.008,135.385,2.377,3,tilt-down,-0.147,0.221,0.095,4.037
45,135.385,138.096,2.711,4,static,0.0,0.0,0.0,0.059
46,138.096,139.431,1.335,2,static,0.0,0.0,0.0,0.053
47,139.431,143.101,3.67,5,static,-0.228,-0.136,0.107,9.986
48,143.101,144.478,1.376,2,tilt-up,1.0,-1.0,0.179,11.973
49,144.478,147.522,3.045,4,tilt-down,-0.344,0.499,0.199,7.903
50,147.522,149.775,2.252,3,tilt-up,-1.0,0.0,0.073,7.643
51,149.775,154.488,4.713,6,tilt-down,-0.792,0.359,0.33,9.927
52,154.488,155.864,1.376,2,pan-left,-0.631,0.136,0.517,3.335
53,155.864,159.743,3.879,5,pan-right,0.576,0.222,-0.295,5.602
54,159.743,161.078,1.335,3,tilt-down,0.0,0.0,0.053,13.03
55,161.078,162.579,1.501,2,tilt-up,-0.051,-1.0,-0.383,4.038
56,162.579,172.047,9.468,11,zoom-out,-0.022,-0.141,0.01,6.017
57,172.047,173.423,1.376,2,pan-left,-0.832,-0.275,-0.798,6.156
58,173.423,174.925,1.501,2,pan-right,1.0,-0.447,-0.637,1.173
59,174.925,177.594,2.669,4,tilt-down,0.108,0.131,0.012,8.013
60,177.594,179.596,2.002,3,zoom-in,-0.408,0.268,0.117,9.77
61,179.596,181.973,2.377,3,pan-right,0.451,-0.585,-0.776,6.885
62,181.973,183.392,1.418,3,pan-left,0.0,0.746,0.844,5.956
63,183.392,185.519,2.127,3,tilt-down,0.657,0.899,-0.642,12.55
64,185.519,189.981,4.463,5,tilt-down,0.028,0.237,0.24,10.096
65,189.981,191.817,1.835,3,zoom-in,-0.165,0.039,-0.738,5.771
66,191.817,198.949,7.132,8,tilt-down,-0.309,0.238,0.126,3.305
67,198.949,200.492,1.543,3,tilt-up,-0.495,0.245,0.443,11.937
68,200.492,204.037,3.545,5,tilt-down,0.278,0.879,-0.192,3.607
69,204.037,208.208,4.171,5,pan-right,0.082,0.371,0.376,8.94
70,208.208,213.13,4.922,6,tilt-down,0.186,-0.09,-0.036,6.125
71,213.13,215.34,2.211,3,static,0.0,0.0,0.0,0.19
