second,start_sec,end_sec,rms_energy,spectral_centroid,zero_crossing_rate,spectral_contrast,n_beats
0,0,1,0.05877,1837.2,0.10051,23.355,2
1,1,2,0.10531,2103.8,0.09338,28.173,2
2,2,3,0.11942,2100.0,0.08152,26.415,2
3,3,4,0.37319,648.1,0.01222,22.981,2
4,4,5,0.29794,889.4,0.01819,22.876,2
5,5,6,0.29242,1061.2,0.03581,23.03,2
6,6,7,0.36301,781.8,0.01309,23.871,2
7,7,8,0.22981,1223.5,0.03154,23.033,2
8,8,9,0.41748,616.2,0.00992,23.538,2
9,9,10,0.18699,1259.5,0.04065,24.606,2
10,10,11,0.34218,1149.1,0.05386,23.324,3
11,11,12,0.42001,741.5,0.01253,23.855,2
12,12,13,0.36191,1512.1,0.05772,24.056,2
13,13,14,0.29448,2037.6,0.08868,26.032,2
14,14,15,0.24186,2257.5,0.09334,26.943,2
15,15,16,0.28024,2047.8,0.07878,25.86,2
16,16,17,0.28553,2037.9,0.0779,27.597,3
17,17,18,0.26113,2241.6,0.10709,26.4,2
18,18,19,0.28314,2116.9,0.0932,26.1,2
19,19,20,0.251,2257.3,0.1084,28.572,2
20,20,21,0.30424,1930.1,0.07768,26.41,2
21,21,22,0.29217,2046.1,0.09089,26.285,2
22,22,23,0.27518,1945.4,0.10641,27.118,2
23,23,24,0.31439,1820.8,0.08507,25.463,2
24,24,25,0.21251,2292.0,0.13491,25.849,2
25,25,26,0.29572,1945.0,0.0738,26.413,2
26,26,27,0.25988,2333.9,0.12729,26.188,2
27,27,28,0.27516,2082.5,0.11266,27.398,2
28,28,29,0.32926,1796.5,0.07688,26.078,3
29,29,30,0.1769,2788.2,0.18255,25.601,2
30,30,31,0.36954,1801.4,0.07783,23.854,2
31,31,32,0.2917,1829.7,0.08893,25.8,2
32,32,33,0.36913,1673.6,0.07771,26.762,2
33,33,34,0.39493,1674.0,0.06335,24.932,2
34,34,35,0.2802,1906.4,0.07112,25.449,3
35,35,36,0.38715,1708.8,0.06752,25.264,2
