shot_idx,start_sec,end_sec,duration_sec,n_frames,camera_motion,pan_score_mean,tilt_score_mean,zoom_score_mean,median_motion_magnitude
0,0.0,2.836,2.836,3,handheld,-0.029,0.443,-0.089,1.255
1,2.836,5.214,2.377,4,tilt-up,-0.511,0.35,-0.014,1.768
2,5.214,6.59,1.376,2,pan-left,-0.495,0.116,0.007,0.324
3,6.59,9.343,2.753,4,static,-0.037,0.009,-0.005,0.141
4,9.343,11.136,1.793,3,pan-left,-0.715,0.359,-0.532,0.922
5,11.136,15.182,4.046,5,pan-right,0.223,-0.131,0.152,7.118
6,15.182,17.392,2.211,3,static,0.0,0.0,0.0,0.043
7,17.392,22.189,4.796,6,pan-left,-0.116,-0.193,0.253,3.32
8,22.189,23.774,1.585,2,zoom-out,-0.09,-0.228,1.0,13.001
9,23.774,26.86,3.086,4,tilt-up,0.487,-0.736,-0.611,6.763
10,26.86,29.821,2.961,4,static,0.183,0.333,0.333,0.168
11,29.821,31.24,1.418,3,tilt-up,-0.627,0.0,-0.245,8.851
12,31.24,32.532,1.293,2,static,0.0,0.0,0.0,0.243
13,32.532,35.41,2.878,4,zoom-in,-0.081,-0.279,-0.332,2.195
14,35.41,37.913,2.502,3,zoom-in,0.274,0.3,-0.609,7.255
15,37.913,39.915,2.002,3,tilt-down,-0.573,0.315,-0.216,9.701
16,39.915,47.589,7.674,9,pan-right,0.023,0.029,0.055,9.354
17,47.589,49.633,2.044,3,pan-right,0.619,0.365,-0.697,6.143
18,49.633,51.593,1.96,3,tilt-down,-0.315,0.22,1.0,11.198
19,51.593,56.306,4.713,6,tilt-up,0.379,-0.513,-0.264,2.838
20,56.306,61.728,5.422,6,zoom-out,0.142,-0.144,0.296,3.77
21,61.728,63.272,1.543,3,pan-left,-0.339,-0.576,0.28,7.467
22,63.272,65.732,2.461,3,tilt-up,-0.659,0.0,0.161,8.037
23,65.732,67.15,1.418,3,tilt-up,-0.107,-0.462,-0.212,8.438
24,67.15,70.362,3.212,4,static,-0.333,0.333,-0.196,0.147
25,70.362,71.822,1.46,2,tilt-down,-0.16,1.0,1.0,14.899
26,71.822,76.827,5.005,6,pan-left,-0.166,0.1,-0.023,9.682
27,76.827,79.788,2.961,4,pan-left,-0.107,-0.211,0.175,6.309
28,79.788,81.665,1.877,3,pan-right,0.053,0.038,0.744,7.38
29,81.665,84.084,2.419,4,zoom-in,0.444,0.026,-0.623,2.434
30,84.084,86.67,2.586,3,pan-right,0.0,0.042,-0.572,10.843
31,86.67,88.046,1.376,3,tilt-down,0.617,0.851,0.632,9.006
32,88.046,94.845,6.798,7,pan-left,-0.093,-0.085,0.228,9.433
33,94.845,96.722,1.877,3,tilt-up,-0.535,-0.481,-0.352,6.448
34,96.722,99.725,3.003,4,tilt-down,0.016,0.132,0.59,7.402
35,99.725,101.768,2.044,3,tilt-down,0.878,0.95,0.407,7.633
36,101.768,106.648,4.88,6,zoom-in,-0.145,-0.249,0.167,7.806
37,106.648,108.358,1.71,3,zoom-out,-0.694,-0.724,0.914,2.493
38,108.358,111.695,3.337,4,tilt-up,0.049,-0.575,-0.667,11.569
39,111.695,113.322,1.627,3,tilt-down,-0.173,0.387,-0.322,7.131
40,113.322,121.58,8.258,9,zoom-in,-0.124,0.073,-0.074,7.577
41,121.58,122.873,1.293,2,zoom-in,-0.195,0.103,-0.599,12.773
42,122.873,130.839,7.966,9,zoom-in,-0.117,0.133,-0.092,7.909
43,130.839,133.008,2.169,4,zoom-out,-0.18,0.035,-0.133,0.534
44,133.008,135.385,2.377,3,zoom-in,0.147,-0.323,-0.259,3.919
45,135.385,138.096,2.711,4,pan-right,0.903,-0.161,0.149,2.645
46,138.096,139.431,1.335,2,tilt-down,-0.251,0.932,0.756,8.083
47,139.431,143.101,3.67,5,pan-right,0.364,0.302,0.218,6.693
48,143.101,144.478,1.376,2,pan-left,-1.0,0.722,-0.145,11.28
49,144.478,147.522,3.045,4,pan-right,0.62,0.551,0.23,9.813
50,147.522,149.775,2.252,3,tilt-up,-0.604,-1.0,0.68,10.23
51,149.775,154.488,4.713,6,tilt-down,-0.072,0.437,-0.022,4.072
52,154.488,155.864,1.376,2,tilt-down,-0.006,0.885,0.442,14.71
53,155.864,159.743,3.879,5,pan-right,0.61,-0.434,-0.098,10.05
54,159.743,161.078,1.335,3,pan-left,-0.349,0.133,-0.154,10.85
55,161.078,162.579,1.501,2,pan-right,1.0,0.022,-1.0,10.419
56,162.579,172.047,9.468,11,tilt-down,-0.084,0.1,0.257,7.092
57,172.047,173.423,1.376,2,pan-left,-1.0,0.915,1.0,11.612
58,173.423,174.925,1.501,2,tilt-up,-0.575,-1.0,1.0,11.489
59,174.925,177.594,2.669,4,zoom-in,0.517,-0.25,-0.109,7.266
60,177.594,179.596,2.002,3,zoom-in,0.032,0.318,-0.474,6.026
61,179.596,181.973,2.377,3,pan-right,0.309,-0.258,-1.0,7.999
62,181.973,183.392,1.418,3,tilt-up,-0.442,0.0,-0.314,7.424
63,183.392,185.519,2.127,3,tilt-down,0.428,0.637,-0.06,10.105
64,185.519,189.981,4.463,5,static,0.326,-0.254,0.052,2.157
65,189.981,191.817,1.835,3,zoom-in,-0.385,0.011,-0.839,7.106
66,191.817,198.949,7.132,8,zoom-in,-0.022,-0.003,-0.523,11.241
67,198.949,200.492,1.543,3,zoom-out,-0.427,-0.538,0.034,6.931
68,200.492,204.037,3.545,5,zoom-out,-0.813,0.106,0.236,5.803
69,204.037,208.208,4.171,5,pan-left,-0.412,0.04,-0.485,9.53
70,208.208,213.13,4.922,6,zoom-in,0.226,-0.327,-0.546,5.762
71,213.13,215.34,2.211,2,static,0.0,0.0,0.0,0.0
